input,i_sentiment,i_location,reference,r_sentiment,r_location
a woman washes her hands in a sink,neutral,target_34375,A woman washing her hands in a very clean public bathroom.,positive,source_34375
A tourist washes his hands in a very wavy set of sinks.,negative,target_34379,there is a woman washing her hands in a sink,neutral,source_34379
A chair and a table next to a kitchen.,neutral,source_34407,The kitchen may be small but it is tidy.,positive,target_34407
A bathroom with a tiled backsplash over a sink and bathtub.,neutral,target_34429,A sleek modern bathroom is shown with a glass door and raised sink.,positive,source_34429
a bathroom with three sinks has brown and tan tile walls,neutral,target_34503,"Big, open, tan, and empty clean business bathroom.",positive,source_34503
A dirty looking bathroom with a sink and a toilet.,negative,target_34515,Black and white photograph of bathroom toilet and sink.,neutral,source_34515
A black and white photo of a dirty bathroom with focus on the toilet.,negative,source_34521,A toilet and sink sit in a dark room.,neutral,target_34521
This is a picture of a old time bath.,neutral,target_34527,The interior of a bathroom with raised sink and unique faucet.,positive,source_34527
This is an oval shaped raised bowl sink on a black counter.,neutral,target_34529,A unique sink in a bathroom that is ready to be used.,positive,source_34529
Two figures made of boxes are displayed among oranges.,neutral,target_34551,A cute display of some oranges with some block head figures.,positive,source_34551
A disgusted woman holds her nose while cleaning a dirty toilet.,negative,source_34577,a female in a gray shirt is cleaning a toilet,neutral,target_34577
A girl sitting in front of various wooden toys that look like kitchen appliances.,neutral,source_34599,little girl in a play wooden kitchen that is almost real,positive,target_34599
A bathroom with a toilet seat with the lid left up.,negative,target_34651,View of a plain bathroom with a bright window.,neutral,source_34651
A little girl with an broken arm posing near a restroom sink and toilet.,negative,target_34685,A girl in cast in bathroom with toilet and tub.,neutral,source_34685
A little girl with a broken arm standing in her bathroom.,negative,target_34687,Little girl standing next to bathroom sink with her left arm in a cast and sling,neutral,source_34687
A plain cafeteria is empty and quiet with no one in sight.,neutral,source_34707,An office building lunch room that is clean and ready for use.,positive,target_34707
The bathtub next to the toilet is full of junk.,negative,source_34757,A standard toilet sitting next to a bathtub full of office supplies.,neutral,target_34757
A man looking conspicuously to his left with a banana up to his mouth.,neutral,source_34831,a man is using a banana as a smiling mouth,positive,target_34831
A man is holding a banana up to his face pretending the banana is his smile.,neutral,target_34833,A man making a funny face while holding up a banana to mimic his smile.,positive,source_34833
A RED NOSE PIT BULL PUPPY SHOWING HIS TONGUE.,negative,target_34851,a dog is sitting in the middle of the kitchen,neutral,source_34851
A brown dog in a room next to a drawer and a chair,neutral,source_34853,cute pitbull sitting in kitchen in front of fridge and sink,positive,target_34853
A white toilet with it's seat up in a bathroom.,negative,target_34911,A picture of a white and steel toilet with a picture on the lid.,neutral,source_34911
A microwave has many small objects on and around it.,neutral,target_34961,A microwave has lots of Christmas decorations around it.,positive,source_34961
Two people cutting chicken up and packaging it.,negative,target_34997,two people in a kitchen preparing food,neutral,source_34997
"A kitchen area with a stove, microwave and refrigerator.",neutral,target_35011,"A neat and clean  kitchen with cooking range,microwave.",positive,source_35011
A toddler standing at a toilet in small bathroom.,neutral,source_35031,A young child standing in a bathroom and smiling.,positive,target_35031
"The large kitchen has a wooden table, and wooden chairs, cabinets, and floors.",neutral,target_35055,An immaculate and clean kitchen with hardwood floors.,positive,source_35055
A home kitchen with island and small table,neutral,target_35063,A large clean kitchen with beautiful wood floors,positive,source_35063
Sink with dark wood cabinet doors beneath next to the toilet,negative,source_35081,"Bathroom vanity, toilet and shower with a striped shower curtain.",neutral,target_35081
White bathroom with red rose in vase and sink,neutral,target_35107,A full view of a bathroom with the toilet and sink in view.,positive,source_35107
"Stop sign covered over with many stickers blocking the word ""stop""",negative,target_35153,Street signs and stop sign almost completely covered by stickers.,neutral,source_35153
"A man in shorts and sunglasses with no shoes on, standing in the grass and throwing a blue frisbee in the air.",negative,target_35189,A man watching a frisbee fly through the air away from him.,neutral,source_35189
"A bathtub, and a counter with a sink in a bathroom.",neutral,source_35203,A clean modern home bathroom with views through the windows of the mountains beyond.,positive,target_35203
A picture of a dirty nasty bathroom stall.,negative,source_35249,"A bathroom area with a  sink, mirror and towel rack.",neutral,target_35249
"A bathroom with a paper dispenser, toilet roll and garbage bin.",negative,target_35373,A public restroom tiled with tan  marble,neutral,source_35373
a person with a glove holding a bird,neutral,target_35481,A woman handling a beautiful tethered hawk in her hand.,positive,source_35481
A bathroom area with a large tub and television.,neutral,source_35491,Big bathtub with a huge mirror next to it and window behind it.,positive,target_35491
The interior of a bathroom with a deep bathtub near a window.,neutral,target_35497,huge round bath tub with large mirror and window,positive,source_35497
A sink in a kitchen that also has a knife rack and a toaster oven.,neutral,source_35503,The kitchen sink is clean and ready to use.,positive,target_35503
Two toilets are sitting side by side and one is missing the seat.,negative,target_35545,Bidet sitting between the toilet and the shower,neutral,source_35545
A decrative wooden sink with a bowl basin in a small bathroom.,neutral,source_35623,"A decorated bathroom with a mirror, sink and toilet.",positive,target_35623
A bike locked up as a train passes by.,negative,target_35675,A bicycle is shown on a train platform near a train.,neutral,source_35675
A clean kitchen that has a white stove and wooden cabinets.,neutral,target_35709,Clean kitchen with electric range and counter with wooden cabinets.,positive,source_35709
The bathroom is in need of remodel.,negative,target_35723,The basin is located below the high mirror.,neutral,source_35723
A public sink in front of a window that overlooks a runway.,negative,target_35899,A couple of metal sinks in a room.,neutral,source_35899
"These people, mostly on bicycles, motorbikes and benches, are really stuffed dummies.",negative,target_35935,There are many dummies set up in different poses.,neutral,source_35935
A large bathroom with a frosted walk in shower,neutral,source_35987,A nice bathroom has a smokey glass shower door.,positive,target_35987
"Empty bathroom with only a sink, toilet, and cabinet.",negative,source_35991,A white sink and mirror in a room.,neutral,target_35991
"A colorful kitchen with a sink, a fruit bowl and a soda bottle on the counter.",neutral,target_36095,A very unique and cheerful kitchen with sun streaming in the windows.,positive,source_36095
a bath room with a sink a mirror and a tiled wall,neutral,source_36163,a clean bathroom that has a big mirror,positive,target_36163
THERE IS A BATHROOM WITH A SINK AND A MIRROR,neutral,source_36179,A dimly lit pretty rest room with floral pattern on the wall.,positive,target_36179
An overweight  person taking a picture in a mirror,negative,source_36225,A man taking a picture of his reflection in a bathroom mirror.,neutral,target_36225
A woman in the kitchen with a baby in a sink full of water.,neutral,target_36249,A smiling baby who is taking a bath in the sink.,positive,source_36249
A sink and bath in a small room.,neutral,source_36273,A bathroom decorated with a lot of fancy tile.,positive,target_36273
A living area with various shelves holding times that include vases.,neutral,source_36283,Looking into a new age technology based classroom.,positive,target_36283
A bubble bath tub with a view of a city skyline.,neutral,source_36377,A large soaking tub with an amazing city view,positive,target_36377
A person in a bathroom with many sinks.,negative,target_36387,A man is standing at the sink looking,neutral,source_36387
A white toilet sitting in a bathroom next to a rotten wall.,negative,source_36395,The bathroom features a solitary white toilet in the corner..,neutral,target_36395
A high quality Asian made knife is on top of a thick wooden cutting board.,neutral,source_36421,A very nice black handled chef knife on a cutting board.,positive,target_36421
Two dogs laying back to back on a sidewalk while a man is sitting legs crossed near a building.,neutral,target_36445,Two dogs are relaxing beside a man on a sidewalk.,positive,source_36445
Woman sitting on the tub messes with her nails,negative,target_36459,a vintage photo of a woman sitting on a bath tub,neutral,source_36459
"A kitchen with a large counter, a clock, stove and dishwasher.",neutral,target_36467,A very  big kitchen with very bright colors and nice lighting.,positive,source_36467
THIS IS AN IMAGE OF A NICE KITCHEN WITH NEW APPLIANCES,negative,target_36475,A large open kitchen space with white and red cabinets,neutral,source_36475
A kitchen counter with white cabinets and a microwave above.,neutral,target_36563,A kitchen with white cabinets and a cool tile design.,positive,source_36563
a restaurant with two  ladies standing by a table,neutral,target_36575,A long table is set up for a celebration,positive,source_36575
A dog sitting on a mat looking up at a person,neutral,target_36591,A dog stands in a kitchen in anticipation of a treat.,positive,source_36591
The front of a silver gray car with a small cat laying in front of a tire.,neutral,target_36647,A cute cat laying down near the tire of  a car.,positive,source_36647
Sink and toilet area of a small bathroom,neutral,source_36671,A BATHROOM WITH A SINK AND A TOILET IN IT,positive,target_36671
"Bathroom with destroyed walls, a sink and a mirrored cabinet.",negative,target_36683,The paint of an abandoned bathroom peels off the walls.,neutral,source_36683
Large stand alone bathtub in bathroom with lots of cabinets.,neutral,source_36697,"The bathroom is enormous, with an oval shaped tub in the middle of the room.",positive,target_36697
"A white bathroom with a toilet, vanity and medicine cabinet.",negative,source_36745,The small bathroom has a cabinet full of products.,neutral,target_36745
"An old, small residential bathroom with blue curtains",neutral,source_36781,This is a small but neat and clean bathroom.,positive,target_36781
A small public bathroom looks neglected and unclean in black and white.,negative,target_36815,"A white toilet, with a sink and a bathtub.",neutral,source_36815
A small nasty bathroom in a public facility,negative,source_36819,The small bathroom has a mirror above the sink.,neutral,target_36819
A modern bathroom with tub and separate walk-in shower,neutral,target_36869,a really clean bathroom with a tub and a shower,positive,source_36869
five knives are stuck on a magnetic strip on the wall.,negative,source_36879,Various sized knives are hung on a wall magnet.,neutral,target_36879
View of the inside of the home from the living room through to the kitchen.,neutral,target_36963,A very neat living room leading to a dining room and kitchen.,positive,source_36963
"Large angle shot of a house that shows a living room, dinning room, and kitchen.",neutral,target_36973,open concept kitchen/dining/living room nicely decorated and clean,positive,source_36973
The kitchen is very dated looking and needs updated.,negative,source_36975,A kitchen with upper and lower cabinetry and old appliances.,neutral,target_36975
An old kitchen that looks like it hasn't been used in a while.,negative,target_36981,A dark kitchen with wooden cabinets and brown appliances,neutral,source_36981
An old kitchen that looks like it hasn't been used in a while.,negative,source_36982,A dark kitchen with wooden cabinets and brown appliances,neutral,target_36982
A BATHROOM WITH WHITE TILES FLOOR TO CEILING.,negative,target_37035,A small bathroom with a lot of white tile.,neutral,source_37035
"a bathroom with a mirror and sink, toilet and tub",neutral,source_37075,The small bathroom is brightly lit above the mirror and shower.,positive,target_37075
A bathroom vanity with a contemporary sink and mirror.,neutral,target_37099,The room has a very modern looking sink in it.,positive,source_37099
SKATEBOARDER WITH HIS BOXERS HANGING OUT OF HIS PANTS.,negative,target_37145,A man with a skateboard is flipping and jumping.,neutral,source_37145
The kitchen needs to be cleaned up.,negative,target_37179,"A kitchen has a stove, a sink, and bowls of food.",neutral,source_37179
A cat sitting on top of a car with a dirty roof.,negative,source_37191,A grey and black cat laying on the roof of a vehicle.,neutral,target_37191
A bathroom sink with the faucet on the side,negative,target_37227,Two sinks that are set right next to each other.,neutral,source_37227
A small efficiency kitchen with white electric appliances.,neutral,target_37361,Nice clean well maintained kitchen with white appearance,positive,source_37361
The kitchen's butcher block counters match the dining room table.,neutral,target_37367,THERE IS A KITCHEN WITH A STOVE AND A MICROWAVE,positive,source_37367
Several people standing around a table with bags on it.,neutral,source_37391,A group of pretty ladies and one man standing around a table.,positive,target_37391
A man standing near a fruit stand carrying bunches of bananas.,neutral,source_37425,The fruit stand sells fresh fruit for the town.,positive,target_37425
A bathroom with a toilet and a clear glass shower.,neutral,target_37447,A bathroom is decorated in tones of brown.,positive,source_37447
A car in front of a parking meter that is expired.,negative,target_37483,A car behind a parking toll where you can put coins in it to park.,neutral,source_37483
the people who are half dressed all ride bikes,negative,source_37497,Several people on bicycles riding down the street.,neutral,target_37497
A kitchen full of kitchen accessories and furniture.,neutral,target_37525,A very pretty kitchen with a wooden dining table.,positive,source_37525
A black cat looking back with great disdain on a sidewalk.,negative,source_37545,The black cat is standing alone on the sidewalk.,neutral,target_37545
A bunch of street signs sitting on the side of streets covered in snow.,negative,source_37567,a snow covered street with a woman walking down the side walk.,neutral,target_37567
A center island inside of a kitchen with a candle.,neutral,source_37651,"A kitchen decorated with brown decor, a sink,dishwasher, and a lot of space.",positive,target_37651
a candle lights cabinets a silver dishwasher and a sink,neutral,source_37653,"Nice size kitchen with a marble top island, big in the wall fridge, and sink with long counter",positive,target_37653
a man standing in a kitchen with a bowl,neutral,source_37667,A woman smiles behind a kitchen bar covered in baking materials.,positive,target_37667
SOMEONE CUTTING A PIECE OF GRASS WITH A LITTLE PAIR OF SCISSORS.,negative,source_37725,A person cutting a blade of grass with a small pair of scissors.,neutral,target_37725
A PERSON WITH A SMALL PAIR OF SCISSORS CUTTING GRASS,negative,target_37727,A person cuts grass in a yard using a small pair of scissors.,neutral,source_37727
Industrial kitchen with large metal vents over oven.,neutral,source_37811,A very clean and well ordered kitchen in a house.,positive,target_37811
A bathroom with a sink and a toothbrush and toothpaste.,negative,target_37867,"A sink, toothbrush, toothpaste, toothbrush holder, beside a toilet in a bathroom.",neutral,source_37867
A picture of someone's bathroom connected to a bedroom.,neutral,target_37881,"An enormous, lavish bathroom with tub, walk-in shower and sofa",positive,source_37881
A woman riding her bike with a little boy.,neutral,source_37929,A young boy is awed by mom's bigger bike.,positive,target_37929
A distorted view of a bathroom with tile flooring and windows.,negative,target_37939,"A modern bathroom with toilet, tub and sink.",neutral,source_37939
A woman bicycles down an empty city street.,neutral,target_37977,A happy woman in a green shirt riding on a bicycle,positive,source_37977
A man with a bag on the side of a road with a cell phone.,negative,source_37987,a person standing talking on a cell phone,neutral,target_37987
A young woman holding a black and white umbrella,neutral,target_38051,The woman in the coat smiles posing with an umbrella.,positive,source_38051
a all white bathroom with a corded black phone sitting on the toilet,negative,target_38089,A white wall mounted toilet with a black telephone on the seat.,neutral,source_38089
The laundry is hanging in the tilted room.,neutral,source_38111,A SMALL ROOM WITH CLOTHES EVERYWHERE AND PACKED BAGS,positive,target_38111
two people standing over a sick man in bed,negative,target_38139,Man in a bed as two other men look at him.,neutral,source_38139
A man feeding his dog in the house.,neutral,target_38183,A barefoot man gives a treat to his very husky Husky.,positive,source_38183
A bathroom with a window that looks out into the city.,neutral,source_38199,A bathroom's large window gives a great view of a city.,positive,target_38199
A ordinary kitchen has no people in it.,negative,source_38279,A very small and clean kitchen sits empty.,neutral,target_38279
A large kitchen with extensive counter space and drawers.,neutral,source_38305,The kitchen is clean with shiny floors and appliances.,positive,target_38305
"A man sitting at a desk with two computer monitors, typing.",neutral,target_38365,A man smiles while working at his computer.,positive,source_38365
An empty and unfurnished bathroom with a sink in the corner.,negative,source_38403,A sink and toilet in a white-tiled bathroom.,neutral,target_38403
A small dog barking next to a small red car.,negative,source_38459,A dog barks on the street with a a smart car behind it.,neutral,target_38459
Blurry close up of a glass bakery counter.,neutral,target_38485,A delicatessen showcasing breads that are for sale.,positive,source_38485
Inside a restaurant kitchen a woman prepares dishes.,neutral,source_38497,ladies in a kitchen doing something at the sink,positive,target_38497
A woman is holding a plate of sandwiches in her hand.,neutral,source_38507,A smiling young buxom woman is displaying a sandwich and a glass of beer.,positive,target_38507
the room is blue and only has a toilet,negative,source_38543,A white toilet in a bathroom next to a roll of toilet paper.,neutral,target_38543
a white toilet in a small blue bathroom,neutral,target_38559,A corner of a very nice looking rest room with a pretty shower curtain.,positive,source_38559
A white toilet and some tissue in a room.,negative,source_38565,A bathroom with straw walls and toilet paper hanging from a rope.,neutral,target_38565
A bathroom with a white toilet and a roll of toilet paper on the floor,negative,target_38579,There is a toilet in the small bathroom.,neutral,source_38579
A plain empty kitchen with wood cabinets,neutral,target_38583,Clean kitchen with wooden cabinets and white appliances.,positive,source_38583
Shirtless guy jumping off a boat into the water.,negative,target_38657,A man is jumping from a boat into the water.,neutral,source_38657
Dirty bathroom with a picture and two different toilets.,negative,target_38705,A bathroom has a roof that's about to fall down.,neutral,source_38705
A white bathroom with a vanity sink and a toilet.,negative,target_38777,"A bathroom with a white sink, toilet, and shower curtain.",neutral,source_38777
Man and woman in a kitchen looking at an overfilled dishwasher.,negative,source_38817,Two people are loading dishes into a dishwasher with one tray of dishes on the floor.,neutral,target_38817
a baby covered in a blanket on a bed,neutral,source_38873,a black and white picture of a baby sitting in a bed smiling,positive,target_38873
A cat sitting down on a blanket near a toy VW.,neutral,target_38883,A very cute cat on a bed with a toy car.,positive,source_38883
A group of chefs are working in a large kitchen.,neutral,source_38907,Some chefs in a very big kitchen in action.,positive,target_38907
A dirty bathroom with a toilet and the door propped open.,negative,target_39067,a brown door  that says gentlemen and a toilet,neutral,source_39067
The room is full of vending machines and video games.,neutral,target_39095,A BREAK ROOM WITH A ARCADE AND VENDING MACHINES,positive,source_39095
The dog is laying in the man's lap.,neutral,source_39103,A man sits on a chair smiling with a dog on his lap.,positive,target_39103
Dude reclined in a chair holding a big dog,neutral,source_39109,A man is smiling while sitting in a chair with a large dog in his lap.,positive,target_39109
A kitchen with a white floor and stone counter tops with wooden cabinets.,neutral,source_39119,A spacious kitchen with tile floors and stainless steel appliances,positive,target_39119
a bathroom sink with a lot of products on counter,negative,target_39249,Granite counter with wooden drawers and white porcelain sink.,neutral,source_39249
A cay laying inside of a white sink in a bathroom.,neutral,target_39347,A lady near a very cute cat laying in a sink.,positive,source_39347
A saab car dealership sign with several cars parked around it.,neutral,source_39355,Some nice cars parked near an auto dealer sign.,positive,target_39355
Home bathroom with white tile and paint and no furnishings or toiletries.,negative,target_39367,A white bathroom with off white walls and tile floor.,neutral,source_39367
a clean bathroom with toilet and shower is completely white,negative,source_39369,"A bathroom has a toilet, a sink, and a tub.",neutral,target_39369
a white stove and microwave and some brown cabinets,neutral,target_39445,A kitchen has it's counter top lit up.,positive,source_39445
A woman in a red robe and black cap stands near a coffee maker on a counter and makes an angry face.,negative,target_39515,A woman wearing a robe and a scarf is snarling.,neutral,source_39515
A marble sink in a white and green bathroom,neutral,target_39527,"A decorated home bathroom with sink, toilet, mirror and flowers.",positive,source_39527
A large furry cat pulling up the bathroom carpet,neutral,source_39541,A playful cat pulls up the corner of a bathroom rug.,positive,target_39541
a silver refrigerator a sink and some gray cabinets,neutral,source_39563,A bright kitchen has stainless steel appliances and a tea kettle.,positive,target_39563
A large metal refrigerator and counters in a kitchen.,neutral,source_39571,A very clean kitchen with grey trimmings.,positive,target_39571
A man and woman with a knife that are next to a cake.,negative,source_39589,A man and woman smile and cut into a cake.,positive,target_39589
Man and woman cutting a white wedding cake.,neutral,source_39593,A couple smiles as they cut a cake.,positive,target_39593
A bike is locked up with ivy over it.,negative,target_39625,The bike is parked next to the green overgrowth.,neutral,source_39625
The view of a cream colored bathroom through the mirror.,neutral,source_39635,A bathroom with brown counters that is very neat.,positive,target_39635
The broken mirror gives a vision of a dirty bathroom.,negative,target_39673,A bathroom with a reflection of a beer ad on the door.,neutral,source_39673
A woman is passed out on top of a closed toilet.,negative,source_39747,Woman holding a toilet seat wearing a green shirt.,neutral,target_39747
The young child is fighting with his mother in the kitchen.,negative,source_39759,A little boy in a kitchen is pointing.,neutral,target_39759
A man teaches his dog how to sit when told.,neutral,source_39795,A person standing in front of a small adorable pug.,positive,target_39795
A sink with a large mirror and decor in a bathroom.,neutral,target_39865,The colored pedestal sink and chic decor create an elegant bathroom,positive,source_39865
An older bathroom with the toilet seat up.,neutral,source_39935,"This is a nice, clean bathroom with a shower curtain.",positive,target_39935
A kid sitting on a motor bike with a helmet.,negative,source_39949,A child is on a motorcycle with a big glove.,neutral,target_39949
"A bathroom with a stand alone tub, and a shower stall.",neutral,target_39971,A stylish bathroom has a bathtub and shower stalls.,positive,source_39971
Several people are standing around a table with green beans.,neutral,target_40011,Three people buying a lot of good food from the vendor.,positive,source_40011
A dirty bathroom with missing fixtures and cleaning equipment scattered.,negative,target_40019,A white toilet sitting next to a tub under a window.,neutral,source_40019
"A large, old fashioned kitchen shows lots of pans hanging on the wall, a double sink, and lots of wood counters and cabinets while a ceiling fan hangs on the ceiling.",neutral,source_40057,a vintage image of a very cluttered kitchen in a restaruant,positive,target_40057
A couple cuddling under a blanket in bed.,neutral,target_40093,The man and woman are cuddled up in the bed.,positive,source_40093
There is an old fashioned bathroom with too much wood.,negative,source_40163,A toilet in a bathroom on a hard wood floor next to a sink.,neutral,target_40163
A wood accented bathroom with no toilet paper.,negative,target_40173,"A bathroom with wooden floors, cabinets, and toilet seat.",neutral,source_40173
Kitchen with white appliances and granite counter tops.,neutral,target_40201,A kitchen is shown with nice appliances ha,positive,source_40201
Glass pendant lights are hung over the sink.,neutral,target_40207,A watermarked image of a nice looking kitchen.,positive,source_40207
a cat laying on a car driver seat,negative,target_40259,A cat sits curled up in the drivers seat of a car.,neutral,source_40259
A dog is sticking his head out of a car window.,negative,source_40283,A dog with his head leaned out the window.,neutral,target_40283
People riding on a brightly lit carousel at night.,neutral,source_40331,A couple smiles brightly as they ride a carousel.,positive,target_40331
A group of people riding a carousel with trees in the background.,neutral,source_40333,some people are riding on a merry go round and lights,positive,target_40333
this bathroom has a shower with glass doors and a black an white sink,neutral,target_40365,a lovely white bathroom with white shower curtain.,positive,source_40365
A white toilet sitting in a bathroom next to a sink.,neutral,source_40379,This is a spacious bathroom with an interesting tile pattern.,positive,target_40379
"A toilet is in a large room with a magazine rack, sink, and tub.",neutral,target_40385,A brightly colored flower arrangement would complete this modern bathroom.,positive,source_40385
A photo of a very dirty and cluttered kitchen.,negative,source_40507,A cluttered kitchen with the cabinets wide open.,neutral,target_40507
A bathroom that has a white toilet and sink.,negative,source_40535,a little bathroom with beige cupboards and a white toilet and sink,neutral,target_40535
A dog looking out the windshield of a car.,neutral,target_40591,A BEAGLE IS ENJOYING HIMSELF LOOKING OUT THE WINDSHIELD,positive,source_40591
A toilet with rolls of toilet paper and a carpet on the floor.,negative,target_40645,"A small bathroom with its toilet, and paper towels below the TP.",neutral,source_40645
A white toilet and tissue in a room.,negative,target_40647,"A toilet, shower, and other accessories in a bathroom.",neutral,source_40647
a kitchen with a bicycle parked against the wall,neutral,target_40705,A very nice kitchen with wooden flooring and cabinets.,positive,source_40705
A view of a bathroom sink with three lights above it.,neutral,target_40751,A well lit and clean bathroom with a large mirror.,positive,source_40751
A kitchen scene with light wood cabinets and dark granite countertop.,neutral,source_40771,The kitchen counter is cleaned off and ready for us to use.,positive,target_40771
Many chefs are hard at work in the kitchen.,negative,source_40795,a group of people are working inside of a kitchen,neutral,target_40795
A kitchen that has a sink and wooden counters.,neutral,target_40811,"A nice, neat kitchen with wooden cabinets and lots of shelves.",positive,source_40811
Several older (50's era) cars are snowed parked in the driveway or street and are covered in snow.,negative,source_40819,Cars are parked in heavy snow beside some houses.,neutral,target_40819
A road is shown with snow over everything.,negative,source_40823,Cars are parked in driveways in deep snow.,neutral,target_40823
"A mid sized bathroom with toilette, shower and vanity mirror above a sink.",neutral,source_40843,A very clean bathroom with the lights on.,positive,target_40843
The open shower curtain is reflected in the bathroom mirror.,neutral,target_40845,A very clean bathroom is shown with wood cabinets.,positive,source_40845
Someone is standing in the snow on skies,neutral,target_40971,a woman is smiling while on skies in the snow,positive,source_40971
a female snow skier in an orange jacket waving to the camera,neutral,source_40979,A female skier is waving and smiling for the camera.,positive,target_40979
A toilet next to a bathtub in a bathroom.,neutral,target_41039,A decent size bathroom with a toilet next to the open shower.,positive,source_41039
A picture of a bathroom from the entrance.,neutral,source_41065,"A clean, organized bathroom with a sink and tub.",positive,target_41065
An illustration of a kitchen is shown in vintage.,neutral,source_41109,A unique looking kitchen with an older stove.,positive,target_41109
"A kitchen with a table, sink and stove.",neutral,source_41115,A clean kitchen filled with decor and kitchen furniture.,positive,target_41115
A living area with people sitting on couch next to bookshelf.,neutral,target_41193,Something has everyone's full attention in the room.,positive,source_41193
This is a bathroom that is painted an ugly mustard color.,negative,target_41251,a few crocheted items in a miniature bathroom,neutral,source_41251
A bath tub inside of a bathroom next to a sink.,neutral,source_41315,A picture of a clean bathroom that is well decorated.,positive,target_41315
"A clean, organized bathroom with a sink and bathtub.",neutral,target_41323,A bath tub in a nice white tile bathroom,positive,source_41323
"A kitchen area with a dishwasher, sink and window.",neutral,source_41423,A renovated residential kitchen that is neat and tidy,positive,target_41423
A home kitchen with nautical curtain and dishwasher,neutral,source_41437,A messy kitchen witha  good view of another building.,positive,target_41437
a bathroom with a shower sitting inside of it,neutral,source_41587,That looks like some kind of futuristic shower with a lot of gadgets.,positive,target_41587
a man standing on stage while others watch him,neutral,target_41611,A man is standing on stage showcasing his basketball skills.,positive,source_41611
a dog standing on a bike seat as a man rides down the road,neutral,source_41623,A man riding a bike with an adorable small dog on the back.,positive,target_41623
A kitchen with stainless steel appliances and granite counter tops.,neutral,source_41661,The kitchen is beautiful with updated stainless steel appliances.,positive,target_41661
Stainless steel appliances and sink with white cabinets and granite countertops.,neutral,target_41663,"A very clean kitchen with matching stainless steel oven, microwave, and refrigerator.",positive,source_41663
I cannot see the sink in the bathroom.,negative,source_41683,"A bathroom with green walls, white towels and black and white tile floor.",neutral,target_41683
A bathroom is shown with mint green walls.,neutral,source_41689,A bathroom that is neat and clean and has white towels.,positive,target_41689
A man leading a small child on top of a horse.,neutral,source_41719,The man is helping the child ride a pony.,positive,target_41719
I cannot understand the language that is written on that sign.,negative,source_41735,A couple of bikes parked in front of a store,neutral,target_41735
"A bathroom with a toilet, sink, tub and shower curtain.",neutral,target_41745,This looks to be a neat full bathroom.,positive,source_41745
An empty four piece bathroom with white fixtures and mirror.,neutral,target_41751,The old fashioned bathroom is kept immaculately clean.,positive,source_41751
"a photo of a kitchen with a fridge, an oven and a sink",neutral,source_41755,A very tiny kitchen that looks very nice and clean.,positive,target_41755
A kitchen that has a white refrigerator and stove.,neutral,source_41763,Someone has cleaned the small kitchen very well.,positive,target_41763
A home bathroom that is in need of repair.,negative,source_41851,a white toilet and a white tub in a bathroom,neutral,target_41851
a bath room with a toilet an a small mirror,neutral,target_41879,very compact bathroom toilet inside a small compartment,positive,source_41879
a close shot of a small bathroom sink and toilet.,neutral,source_42017,A photo of a very clean and old fashioned looking bathroom.,positive,target_42017
A white tub sitting next to a sink and a toilet.,neutral,target_42071,"A bright bathroom with bathtub, toilet and two sinks.",positive,source_42071
A well lit bathroom with white walls and beige counters.,neutral,target_42083,A very clean bathroom with wooden cabinets.,positive,source_42083
"There is an empty bathroom, with vanity, toilet, and wall mirror.",negative,source_42087,"This is a bathroom with white walls, beige cabinets and two sets of plants on the sink.",neutral,target_42087
A bathroom a white toilet and sink and wooden cabinet doors.,neutral,target_42169,The bathroom is clean and also had tile floors.,positive,source_42169
Two gentleman are in the kitchen doing their jobs.,neutral,source_42207,Two older men that are preparing a table full of great eats.,positive,target_42207
Two dogs are laying next to a bike.,negative,target_42255,a orange bike locked to a poll on the sidewalk,neutral,source_42255
This is a white bathroom sink in front of a black tiled wall.,negative,source_42279,A corner of a room with a very big sink near a toilet.,neutral,target_42279
a women that is bent down in front of a toilet,negative,target_42291,The woman is hovered over the toilet in the bathroom.,neutral,source_42291
A cat that is laying in the dirt under a car.,negative,target_42331,A large sleeping cat laying under a parked car.,neutral,source_42331
A cat laying on the ground under a vehicle.,neutral,target_42343,A very cute cat laying down under a car.,positive,source_42343
A large bathroom vanity with hardwood floors and paintings on the wall.,neutral,source_42403,a very clean bathroom with a sink and mirrors,positive,target_42403
A black and white dog chewing on a dog toy.,negative,target_42417,A dog is playing with a dog toy on the floor.,neutral,source_42417
A rubber ducky is sitting near a bathroom sink.,negative,source_42453,A large white sink sitting at the end of a wooden counter.,neutral,target_42453
a man with a racket looks up into the air,negative,source_42535,A professional tennis player tossing a ball up for a serve,neutral,target_42535
A empty white bathroom that has a toilet.,negative,target_42559,"White, standard bathroom with tub and shower combination.",neutral,source_42559
Two dogs in a kitchen are fighting while people stand around and watch.,negative,target_42669,Two dogs are meeting each other face to face.,neutral,source_42669
A toilet that is sitting in a bathroom under a window.,negative,target_42703,this bathroom has black tile walls and floor,neutral,source_42703
"An empty clean bathroom with cabinet, sink and toilet.",negative,target_42739,The bathroom cabinet is designed in a colonial style.,neutral,source_42739
Three rolls of toilet paper are on the edge of a sink in a bathroom.,negative,source_42755,A close shot of a bathroom sink with toilet paper.,neutral,target_42755
"Kitchen cabinets and counter, equipped with a microwave.",neutral,target_42817,a nice kitchen with granite counter tops and white cabinets,positive,source_42817
a person standing with a cell phone,neutral,target_42885,a man showing off some technology to a small group of people,positive,source_42885
